Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
0;5,114;0;0,3057;;;;
1;5,114;1;0,3257;;;;
2;5,113;2;0,3257;;;;
3;5,113;3;0,3241;;;;
4;5,112;4;0,3241;;;;
5;5,112;5;0,3277;;;;
6;5,112;6;0,3277;;;;
7;5,112;7;0,3265;;;;
8;5,111;8;0,3265;;;;
9;5,111;9;0,3265;;;;
10;5,112;10;0,3265;;;;
11;5,112;11;0,3267;;;;
12;5,113;12;0,3267;;;;
13;5,113;13;0,3269;;;;
14;5,113;14;0,3269;;;;
15;5,113;15;0,3069;;;;
16;5,115;16;0,3069;;;;
17;5,115;17;0,3055;;;;
18;5,117;18;0,3055;;;;
19;5,117;19;0,3243;;;;
20;5,113;20;0,3243;;;;
21;5,113;21;0,3243;;;;
22;5,113;22;0,3243;;;;
23;5,113;23;0,3261;;;;
24;5,113;24;0,3261;;;;
25;5,113;25;0,3285;;;;
26;5,113;26;0,3285;;;;
27;5,113;27;0,3253;;;;
28;5,112;28;0,3253;;;;
29;5,112;29;0,3281;;;;
30;5,113;30;0,3281;;;;
31;5,113;31;0,3247;;;;
32;5,115;32;0,3247;;;;
33;5,115;33;0,3079;;;;
34;5,116;34;0,3079;;;;
35;5,116;35;0,3047;;;;
36;5,113;36;0,3047;;;;
37;5,113;37;0,3277;;;;
38;5,113;38;0,3277;;;;
39;5,113;39;0,3253;;;;
40;5,113;40;0,3253;;;;
41;5,113;41;0,329;;;;
42;5,112;42;0,329;;;;
43;5,112;43;0,3247;;;;
44;5,112;44;0,3247;;;;
45;5,112;45;0,3294;;;;
46;5,113;46;0,3294;;;;
47;5,113;47;0,3255;;;;
48;5,113;48;0,3255;;;;
49;5,113;49;0,3234;;;;
50;5,117;50;0,3234;;;;
51;5,117;51;0,3057;;;;
52;5,117;52;0,3057;;;;
53;5,117;53;0,3255;;;;
54;5,112;54;0,3255;;;;
55;5,112;55;0,3218;;;;
56;5,113;56;0,3218;;;;
57;5,113;57;0,3279;;;;
58;5,113;58;0,3279;;;;
59;5,113;59;0,3255;;;;
60;5,113;60;0,3255;;;;
61;5,113;61;0,3273;;;;
62;5,112;62;0,3273;;;;
63;5,112;63;0,3253;;;;
64;5,113;64;0,3253;;;;
65;5,113;65;0,3271;;;;
66;5,112;66;0,3271;;;;
67;5,112;67;0,3069;;;;
68;5,117;68;0,3069;;;;
69;5,117;69;0,3065;;;;
70;5,113;70;0,3065;;;;
71;5,113;71;0,3245;;;;
72;5,114;72;0,3245;;;;
73;5,114;73;0,3235;;;;
74;5,112;74;0,3235;;;;
75;5,112;75;0,3267;;;;
76;5,113;76;0,3267;;;;
77;5,113;77;0,3257;;;;
78;5,112;78;0,3257;;;;
79;5,112;79;0,3269;;;;
80;5,113;80;0,3269;;;;
81;5,113;81;0,3257;;;;
82;5,112;82;0,3257;;;;
83;5,112;83;0,3281;;;;
84;5,117;84;0,3281;;;;
85;5,117;85;0,3055;;;;
86;5,116;86;0,3055;;;;
87;5,116;87;0,3122;;;;
88;5,112;88;0,3122;;;;
89;5,112;89;0,3228;;;;
90;5,113;90;0,3228;;;;
91;5,113;91;0,3277;;;;
92;5,112;92;0,3277;;;;
93;5,112;93;0,3247;;;;
94;5,113;94;0,3247;;;;
95;5,113;95;0,3298;;;;
96;5,113;96;0,3298;;;;
97;5,113;97;0,3253;;;;
98;5,113;98;0,3253;;;;
99;5,113;99;0,3294;;;;
100;5,113;100;0,3294;;;;
101;5,113;101;0,3106;;;;
102;5,116;102;0,3106;;;;
103;5,116;103;0,3088;;;;
104;5,115;104;0,3088;;;;
105;5,115;105;0,3222;;;;
106;5,112;106;0,3222;;;;
107;5,112;107;0,3265;;;;
108;5,113;108;0,3265;;;;
109;5,113;109;0,3251;;;;
110;5,113;110;0,3251;;;;
111;5,113;111;0,3294;;;;
112;5,113;112;0,3294;;;;
113;5,113;113;0,3245;;;;
114;5,112;114;0,3245;;;;
115;5,112;115;0,3285;;;;
116;5,112;116;0,3285;;;;
117;5,112;117;0,3253;;;;
118;5,114;118;0,3253;;;;
119;5,114;119;0,3075;;;;
120;5,117;120;0,3075;;;;
121;5,117;121;0,3047;;;;
122;5,113;122;0,3047;;;;
123;5,113;123;0,3251;;;;
124;5,112;124;0,3251;;;;
125;5,112;125;0,3237;;;;
126;5,113;126;0,3237;;;;
127;5,113;127;0,3267;;;;
128;5,112;128;0,3267;;;;
129;5,112;129;0,3265;;;;
130;5,112;130;0,3265;;;;
131;5,112;131;0,3267;;;;
132;5,112;132;0,3267;;;;
133;5,112;133;0,3268;;;;
134;5,113;134;0,3268;;;;
135;5,113;135;0,3266;;;;
136;5,116;136;0,3266;;;;
137;5,116;137;0,3061;;;;
138;5,116;138;0,3061;;;;
139;5,116;139;0,3192;;;;
140;5,113;140;0,3192;;;;
141;5,113;141;0,3253;;;;
142;5,114;142;0,3253;;;;
143;5,114;143;0,3265;;;;
144;5,112;144;0,3265;;;;
145;5,112;145;0,3279;;;;
146;5,113;146;0,3279;;;;
147;5,113;147;0,3259;;;;
148;5,113;148;0,3259;;;;
149;5,113;149;0,3281;;;;
150;5,112;150;0,3281;;;;
151;5,112;151;0,3259;;;;
152;5,112;152;0,3259;;;;
153;5,112;153;0,3269;;;;
154;5,116;154;0,3269;;;;
155;5,116;155;0,3055;;;;
156;5,116;156;0,3055;;;;
157;5,116;157;0,3241;;;;
158;5,113;158;0,3241;;;;
159;5,113;159;0,3236;;;;
160;5,112;160;0,3236;;;;
161;5,112;161;0,3271;;;;
162;5,113;162;0,3271;;;;
163;5,113;163;0,3249;;;;
164;5,112;164;0,3249;;;;
165;5,112;165;0,3271;;;;
166;5,112;166;0,3271;;;;
167;5,112;167;0,3259;;;;
168;5,112;168;0,3259;;;;
169;5,112;169;0,3279;;;;
170;5,113;170;0,3279;;;;
171;5,113;171;0,3112;;;;
172;5,116;172;0,3112;;;;
173;5,116;173;0,3081;;;;
174;5,117;174;0,3081;;;;
175;5,117;175;0,323;;;;
176;5,113;176;0,323;;;;
177;5,113;177;0,3255;;;;
178;5,114;178;0,3255;;;;
179;5,114;179;0,3253;;;;
180;5,113;180;0,3253;;;;
181;5,113;181;0,3283;;;;
182;5,112;182;0,3283;;;;
183;5,112;183;0,3249;;;;
184;5,112;184;0,3249;;;;
185;5,112;185;0,3269;;;;
186;5,112;186;0,3269;;;;
187;5,112;187;0,3249;;;;
188;5,112;188;0,3249;;;;
189;5,112;189;0,3086;;;;
190;5,116;190;0,3086;;;;
191;5,116;191;0,3045;;;;
192;5,115;192;0,3045;;;;
193;5,115;193;0,3251;;;;
194;5,113;194;0,3251;;;;
