Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph
0	5,073	0	0,5224
1	5,073	1	0,5224
2	5,073	2	0,5263
3	5,073	3	0,5263
4	5,073	4	0,5228
5	5,071	5	0,5228
6	5,071	6	0,5248
7	5,072	7	0,5248
8	5,072	8	0,5224
9	5,072	9	0,5224
10	5,072	10	0,5259
11	5,073	11	0,5259
12	5,073	12	0,522
13	5,071	13	0,522
14	5,071	14	0,5254
15	5,072	15	0,5254
16	5,072	16	0,522
17	5,073	17	0,522
18	5,073	18	0,5252
19	5,072	19	0,5252
20	5,072	20	0,5214
21	5,071	21	0,5214
22	5,071	22	0,5254
23	5,072	23	0,5254
24	5,072	24	0,5214
25	5,072	25	0,5214
26	5,072	26	0,5254
27	5,072	27	0,5254
28	5,072	28	0,522
29	5,073	29	0,522
30	5,073	30	0,5257
31	5,073	31	0,5257
32	5,073	32	0,5224
33	5,072	33	0,5224
34	5,072	34	0,5254
35	5,073	35	0,5254
36	5,073	36	0,5228
37	5,073	37	0,5228
38	5,073	38	0,5246
39	5,073	39	0,5246
40	5,073	40	0,5226
41	5,073	41	0,5226
42	5,073	42	0,5248
43	5,073	43	0,5248
44	5,073	44	0,5234
45	5,073	45	0,5234
46	5,073	46	0,5252
47	5,071	47	0,5252
48	5,071	48	0,5222
49	5,072	49	0,5222
50	5,072	50	0,5246
51	5,071	51	0,5246
52	5,071	52	0,5226
53	5,072	53	0,5226
54	5,072	54	0,5242
55	5,072	55	0,5242
56	5,072	56	0,5228
57	5,072	57	0,5228
58	5,072	58	0,524
59	5,071	59	0,524
60	5,071	60	0,5228
61	5,073	61	0,5228
62	5,073	62	0,5232
63	5,072	63	0,5232
64	5,072	64	0,5232
65	5,072	65	0,5232
66	5,072	66	0,5234
67	5,071	67	0,5234
68	5,071	68	0,5234
69	5,073	69	0,5234
70	5,073	70	0,5236
71	5,072	71	0,5236
72	5,072	72	0,5256
73	5,073	73	0,5256
74	5,073	74	0,5238
75	5,072	75	0,5238
76	5,072	76	0,525
77	5,072	77	0,525
78	5,072	78	0,5224
79	5,072	79	0,5224
80	5,072	80	0,525
81	5,073	81	0,525
82	5,073	82	0,5224
83	5,073	83	0,5224
84	5,073	84	0,5269
85	5,073	85	0,5269
86	5,073	86	0,5238
87	5,073	87	0,5238
88	5,073	88	0,5271
89	5,071	89	0,5271
90	5,071	90	0,5232
91	5,072	91	0,5232
92	5,072	92	0,5271
93	5,072	93	0,5271
94	5,072	94	0,5232
95	5,073	95	0,5232
96	5,073	96	0,5273
97	5,073	97	0,5273
98	5,073	98	0,523
99	5,072	99	0,523
100	5,072	100	0,5261
101	5,072	101	0,5261
102	5,072	102	0,5234
103	5,073	103	0,5234
104	5,073	104	0,5265
105	5,073	105	0,5265
106	5,073	106	0,5254
107	5,073	107	0,5254
108	5,073	108	0,5267
109	5,072	109	0,5267
110	5,072	110	0,5248
111	5,072	111	0,5248
112	5,072	112	0,5252
113	5,071	113	0,5252
114	5,071	114	0,5248
115	5,072	115	0,5248
116	5,072	116	0,525
117	5,071	117	0,525
118	5,071	118	0,5249
119	5,073	119	0,5249
120	5,073	120	0,5247
121	5,073	121	0,5247
122	5,073	122	0,5251
123	5,072	123	0,5251
124	5,072	124	0,5246
125	5,073	125	0,5246
126	5,073	126	0,5269
127	5,073	127	0,5269
128	5,073	128	0,5244
129	5,073	129	0,5244
130	5,073	130	0,5267
131	5,073	131	0,5267
132	5,073	132	0,5234
133	5,072	133	0,5234
134	5,072	134	0,5269
135	5,072	135	0,5269
136	5,072	136	0,5234
137	5,072	137	0,5234
138	5,072	138	0,5269
139	5,072	139	0,5269
140	5,072	140	0,523
141	5,073	141	0,523
142	5,073	142	0,5275
143	5,073	143	0,5275
144	5,073	144	0,5244
145	5,073	145	0,5244
146	5,073	146	0,5267
147	5,072	147	0,5267
148	5,072	148	0,5236
149	5,073	149	0,5236
150	5,073	150	0,5263
151	5,073	151	0,5263
152	5,073	152	0,5246
153	5,072	153	0,5246
154	5,072	154	0,5261
155	5,073	155	0,5261
156	5,073	156	0,5246
157	5,073	157	0,5246
158	5,073	158	0,5259
159	5,072	159	0,5259
160	5,072	160	0,524
161	5,072	161	0,524
162	5,072	162	0,5261
163	5,072	163	0,5261
164	5,072	164	0,5248
165	5,073	165	0,5248
166	5,073	166	0,5263
167	5,073	167	0,5263
168	5,073	168	0,5244
169	5,072	169	0,5244
170	5,072	170	0,5263
171	5,073	171	0,5263
172	5,073	172	0,5258
173	5,073	173	0,5258
174	5,073	174	0,5257
175	5,072	175	0,5257
176	5,072	176	0,5258
177	5,073	177	0,5258
178	5,073	178	0,5257
179	5,072	179	0,5257
180	5,072	180	0,5259
181	5,073	181	0,5259
182	5,073	182	0,5259
183	5,073	183	0,5259
184	5,073	184	0,5261
185	5,074	185	0,5261
186	5,074	186	0,526
187	5,073	187	0,526
188	5,073	188	0,5258
189	5,073	189	0,5258
190	5,073	190	0,5257
191	5,073	191	0,5257
192	5,073	192	0,526
193	5,073	193	0,526
194	5,073	194	0,5256
195	5,072	195	0,5256
196	5,072	196	0,5254
197	5,072	197	0,5254
198	5,072	198	0,5256
199	5,072	199	0,5256
200	5,072	200	0,5253
201	5,072	201	0,5253
202	5,072	202	0,5254
203	5,071	203	0,5254
204	5,071	204	0,5251
205	5,072	205	0,5251
206	5,072	206	0,5252
207	5,071	207	0,5252
208	5,071	208	0,5249
209	5,073	209	0,5249
210	5,073	210	0,5247
211	5,072	211	0,5247
212	5,072	212	0,5246
213	5,074	213	0,5246
214	5,074	214	0,5244
215	5,073	215	0,5244
216	5,073	216	0,5256
217	5,074	217	0,5256
218	5,074	218	0,5244
219	5,073	219	0,5244
220	5,073	220	0,5244
221	5,073	221	0,5244
222	5,073	222	0,524
223	5,072	223	0,524
224	5,072	224	0,5261
225	5,074	225	0,5261
226	5,074	226	0,5236
227	5,072	227	0,5236
228	5,072	228	0,5246
229	5,073	229	0,5246
230	5,073	230	0,5236
231	5,073	231	0,5236
232	5,073	232	0,5259
233	5,073	233	0,5259
234	5,073	234	0,5238
235	5,073	235	0,5238
236	5,073	236	0,5263
237	5,073	237	0,5263
238	5,073	238	0,5232
239	5,072	239	0,5232
240	5,072	240	0,5265
241	5,072	241	0,5265
242	5,072	242	0,5232
243	5,072	243	0,5232
244	5,072	244	0,5265
245	5,072	245	0,5265
246	5,072	246	0,523
